# mostly taken from http://www.dot.gov.in/numbering_plan/nnp2003.pdf
# and http://en.wikipedia.org/wiki/Telephone_numbers_in_India

^+	plus
^00	idd
^0.	trunk

^9	cell

^1800	service

^100	emergency	police
^101	emergency	fire
^102	emergency	medical
^1298	emergency	medical
^103	emergency	traffic
^104	emergency	medical
^108	emergency	medical
^112	emergency	local emergency number

^2	local
^3	local
^4	local
^5	local
^6	local
^7	none	invalid
^8	none	invalid

9	cell
1486	area	Mandal	Mandal, Bhilwara
1487	area	Banera	Banera, Bhilwara
1488	area	Kotri	Kotri, Bhilwara
1489	area	Mandalgarh	Mandalgarh, Bhilwara
1491	area	Nasirabad	Nasirabad, Ajmer
1492	area	Laxmangarh	Laxmangarh (Kherli), Alwar
1493	area	Tijara (N)	Tijara (N) (Bhiwadi), Alwar
1494	area	Behror	Behror, Alwar
1495	area	Mandawar	Mandawar, Alwar
1496	area	Sarwar	Sarwar, Ajmer
1497	area	Kishangarh (N)	Kishangarh (N) (Roopangarh), Ajmer
1498	area	Anupgarh (E)	Anupgarh (E), Sriganganagar
1499	area	Sangaria	Sangaria, Sriganganagar
1501	area	Srikaranpur	Srikaranpur, Sriganganagar
1502	area	Nohar (W)	Nohar (W) (Jedasar), Sriganganagar
1503	area	Sadulshahar	Sadulshahar, Sriganganagar
1504	area	Bhadra	Bhadra, Sriganganagar
1505	area	Padampur	Padampur, Sriganganagar
1506	area	Anupgarh (W)	Anupgarh (W) (Gharsana), Sriganganagar
1507	area	Raisinghnagar	Raisinghnagar, Sriganganagar
1508	area	Suratgarh (N)	Suratgarh (N) (Goluwala), Sriganganagar
1509	area	Suratgarh (S)	Suratgarh (S), Sriganganagar
151	area	Bikaner (S)	Bikaner (S), Bikaner
1520	area	Bikaner (N)	Bikaner (N) (Chhatargarh), Bikaner
1521	area	Bikaner (C)	Bikaner (C) (Jaimalsar), Bikaner
1522	area	Bikaner (E)	Bikaner(E) (Jamsar), Bikaner
1523	area	Bikaner (W)	Bikaner (W) (Poogal), Bikaner
1526	area	Lunkaransar	Lunkaransar-II (Mahajan), Bikaner
1527	area	Lunkaransar	Lunkaransar-III (Rajasarb), Bikaner
1528	area	Lunkaransar	Lunkaransar-IV, Bikaner 
1529	area	Lunkaransar	Lunkaransar-IV and -I (Kanholi), Bikaner
1531	area	Nokha (E)	Nokha (E), Bikaner
1532	area	Nokha (W)	Nokha (W) (Nathusar), Bikaner
1533	area	Kolayat	Kolayat-I (Goddo), Bikaner
1534	area	Kolayat	Kolayat-II, Bikaner
1535	area	Kolayat	Kolayat-II and -III (Bajju), Bikaner
1536	area	Kolayat	Kolayat-IV (Daitra), Bikaner
1537	area	Nohar (C)	Nohar (C) (Rawatsar), Sriganganagar
1539	area	Tibbi	Tibbi, Sriganganagar
154	area	Sriganganagar	Sriganganagar, Sriganganagar
1552	area	Hanumangarh	Hanumangarh, Sriganganagar
1555	area	Nohar (E)	Nohar (E), Sriganganagar
1559	area	Rajgarh	Rajgarh, Churu
1560	area	Sujangarh (C)	Sujangarh (C) (Bidasar), Churu
1561	area	Taranagar	Taranagar, Churu
1562	area	Churu	Churu, Churu
1563	area	Sardarshahar (N)	Sardarshahar (N)-Jaitsisar, Churu
1564	area	Sardarshahar (S)	Sardarshahar (S), Churu
1565	area	Sridungargarh (N)	Sridungargarh (N)-Dungargh, Churu
1566	area	Sridungargarh (S)	Sridungargarh (S) (Sudsar), Churu
1567	area	Ratangarh	Ratangarh, Churu
1568	area	Sujangarh (E)	Sujangarh (E), Churu
1569	area	Sujangarh (W)	Sujangarh (W) (Lalgarh), Churu
1570	area	Laxmangarh (W)	Laxmangarh (W) (Nechwa), Sikar
1571	area	Fatehpur	Fatehpur, Sikar
1572	area	Sikar	Sikar, Sikar
1573	area	Laxmangarh (E)	Laxmangarh (E), Sikar
1574	area	Neem Ka Thana	Neem Ka Thana, Sikar
1575	area	Srimadhopur	Srimadhopur, Sikar
1576	area	Dantaramgarh (E)	Dantaramgarh (E) (Shyamji), Sikar
1577	area	Dantaramgarh (W)	Dantaramgarh (W), Sikar
1580	area	Deedwana	Deedwana, Nagaur
1581	area	Ladnun	Ladnun, Nagaur
1582	area	Nagaur (N)	Nagaur (N), Nagaur
1583	area	Jayal	Jayal, Nagaur
1584	area	Nagaur (E)	Nagaur (E) (Mundwa Marwar), Nagaur
1585	area	Nagaur (W)	Nagaur (W) (Khinwsar), Naguar
1586	area	Nawa	Nawa (Kuchamancity), Nagaur
1587	area	Degana	Degana, Nagaur
1588	area	Parbatsar (N)	Parbatsar (N) (Makrana), Nagaur
1589	area	Parbatsar (S)	Parbatsar (S), Nagaur
1590	area	Merta (E)	Merta (E) (Merta-City), Nagaur
1591	area	Merta (W)	Merta (W) (Gotan), Nagaur
1592	area	Jhunjhunu (S)	Jhunjhunu (S), Jhunjhunu
1593	area	Khetri	Khetri, Jhunjhunu
1594	area	Udaipurwati	Udaipurwati, Jhunjhunu
1595	area	Jhunjhunu (N)	Jhunjhunu (N) (Bissau), Jhunjhunu
1596	area	Chirawa	Chirawa, Jhunjhunu
160	area	Kharar	Kharar, Ropar
161	area	Ludhiana	Ludhiana, Ludhiana
1624	area	Jagraon	Jagraon, Ludhiana
1628	area	Samrala	Samrala, Ludhiana
1632	area	Ferozepur	Ferozepur, Ferozepur
1633	area	Muktasar	Muktasar, Ferozepur
1634	area	Abohar	Abohar, Ferozepur
1635	area	Kotkapura	Kotkapura, Ferozepur
1636	area	Moga	Moga, Ferozepur
1637	area	Malaut	Malaut, Ferozepur
1638	area	Fazilka	Fazilka, Ferozepur
1639	area	Faridakot	Faridakot, Ferozepur
164	area	Bhatinda	Bhatinda, Bhatinda
1651	area	Phulmandi	Phulmandi, Bhatinda
1652	area	Mansa	Mansa, Bhatinda
1655	area	Raman	Raman, Bhatinda
1659	area	Sardulgarh	Sardulgarh, Bhatinda
1662	area	Hissar	Hissar, Hissar
1663	area	Hansi	Hansi, Hissar
1664	area	Bhiwani	Bhiwani, Rohtak
1666	area	Sirsa	Sirsa, Hissar
1667	area	Fatehabad	Fatehabad, Hissar
1668	area	Dabwali	Dabwali, Hissar
1669	area	Adampur Mandi	Adampur Mandi, Hissar
1672	area	Sangrur	Sangrur, Sangrur
1675	area	Malerkotla	Malerkotla, Sangrur
1676	area	Sunam	Sunam, Sangrur
1679	area	Barnala	Barnala, Sangrur
1681	area	Jind	Jind, Jind
1682	area	Zira	Zira, Ferozepur
1683	area	Julana	Julana, Jind
1684	area	Narwana	Narwana, Jind
1685	area	Guruharsahai	Guruharsahai, Ferozepur
1686	area	Safidon	Safidon, Jind
1692	area	Tohana	Tohana, Hissar
1693	area	Barwala	Barwala, Hissar
1696	area	Kalanwali	Kalanwali, Hissar
1697	area	Ratia	Ratia, Hissar
1698	area	Ellenabad	Ellenabad, Hissar
1702	area	Nahan	Nahan, Solan
1704	area	Paonta	Paonta, Solan
171	area	Ambala	Ambala, Ambala
172	area	Chandigarh	Chandigarh, Chandigarh
1731	area	Barara	Barara, Ambala
1732	area	Jagadhari	Jagadhari, Ambala
1733	area	Kalka	Kalka, Ambala
1734	area	Naraingarh	Naraingarh, Ambala
1735	area	Chaaharauli	Chaaharauli, Ambala
1741	area	Pehowa	Pehowa, Karnal
1743	area	Cheeka	Cheeka, Karnal
1744	area	Kurukshetra	Kurukshetra, Karnal
1745	area	Nilokheri	Nilokheri, Karnal
1746	area	Kaithal	Kaithal, Karnal
1748	area	Gharaunda	Gharaunda, Karnal
1749	area	Assandh	Assandh, Karnal
175	area	Patiala	Patiala, Patiala
1762	area	Rajpura	Rajpura, Patiala
1763	area	Sarhind	Sarhind, Patiala
1764	area	Samana	Samana, Patiala
1765	area	Nabha	Nabha, Patiala
177	area	Shimla	Shimla, Shimla
1781	area	Rohru	Rohru, Shimla
1782	area	Rampur Bushahar	Rampur Bushahar, Shimla
1783	area	Theog	Theog, Shimla
1785	area	Pooh	Pooh, Shimla
1786	area	Kalpa	Kalpa, Shimla
1792	area	Solan	Solan, Solan
1795	area	Nalagarh	Nalagarh, Solan
1796	area	Arki	Arki, Solan
1799	area	Rajgarh	Rajgarh, Solan
180	area	Panipat	Panipat, Karnal
181	area	Jallandhar	Jallandhar, Jalandhar
1821	area	Nakodar	Nakodar, Jalandhar
1822	area	Kapurthala	Kapurthala, Jalandhar
1823	area	Nawanshahar	Nawanshahar, Jalandhar
1824	area	Phagwara	Phagwara, Jalandhar
1826	area	Phillaur	Phillaur, Jalandhar
1828	area	Sultanpur Lodhi	Sultanpur Lodhi, Jalandhar
183	area	Amritsar	Amritsar, Amritsar
184	area	Karnal	Karnal, Karnal
1851	area	Patti	Patti, Amritsar
1852	area	Taran Taran	Taran Taran, Amritsar
1853	area	Rayya	Rayya, Amritsar
1858	area	Ajnala	Ajnala, Amritsar
1859	area	Goindwal	Goindwal, Amritsar
186	area	Pathankot	Pathankot, Pathankot
1870	area	Jugial	Jugial, Pathankot
1871	area	Batala	Batala, Pathankot
1872	area	Quadian	Quadian, Pathankot
1874	area	Gurdaspur	Gurdaspur, Pathankot
1875	area	Dinanagar	Dinanagar, Pathankot
1881	area	Ropar	Ropar, Ropar
1882	area	Hoshiarpur	Hoshiarpur, Hosiarpur
1883	area	Dasua	Dasua, Hosiarpur
1884	area	Garhashanker	Garhashanker, Hosiarpur
1885	area	Balachaur	Balachaur, Hosiarpur
1886	area	Tanda Urmar	Tanda Urmar, Hosiarpur
1887	area	Nangal	Nangal, Ropar
1892	area	Kangra	Kangra (Dharamsala), Kangra (Dharamsala)
1893	area	Nurpur	Nurpur, Kangra (Dharamsala)
1894	area	Palampur	Palampur, Kangra (Dharamsala)
1895	area	Bharmour	Bharmour, Kangra (Dharamsala)
1896	area	Churah	Churah (Tissa), Kangra (Dharamsala)
1897	area	Pangi	Pangi (Killar), Kandra (Dharamsala)
1899	area	Chamba	Chamba, Kangra (Dharamsala)
1900	area	Lahul	Lahul (Keylong), Kullu
1902	area	Kullu	Kullu, Kullu
1903	area	Banjar	Banjar, Kullu
1904	area	Nirmand	Nirmand, Kullu
1905	area	Mandi	Mandi, Mandi
1906	area	Spiti	Spiti (Kaza), Kullu
1907	area	Sundernagar	Sundernagar, Mandi
1908	area	Jogindernagar	Jogindernagar, Mandi
1909	area	Udaipur	Udaipur, Kullu
191	area	Jammu	Jammu, Jammu
1921	area	Basholi	Basholi, Jammu
1922	area	Kathua	Kathua, Jammu
1923	area	Samba	Samba, Jammu
1924	area	Akhnoor	Akhnoor, Jammu
1931	area	Kulgam	Kulgam, Srinagar
1932	area	Anantnag	Anantnag, Srinagar
1933	area	Pulwama	Pulwama, Srinagar
1936	area	Pahalgam	Pahalgam, Srinagar
194	area	Srinagar	Srinagar, Srinagar
1951	area	Badgam	Badgam, Srinagar
1952	area	Baramulla	Baramulla, Srinagar
1954	area	Sopore	Sopore, Srinagar
1955	area	Kupwara	Kupwara, Srinagar
1956	area	Uri	Uri, Srinagar
1957	area	Bandipur	Bandipur, Srinagar
1958	area	Karnah	Karnah, Srinagar
1960	area	Nowshera	Nowshera, Rajouri
1962	area	Rajouri	Rajouri, Rajouri
1964	area	Kalakot	Kalakot, Rajouri
1965	area	Poonch	Poonch, Rajouri
1970	area	Dehra Gopipur	Dehra Gopipur, Kangra (Dharamsala)
1972	area	Hamirpur	Hamirpur, Hamirpur
1975	area	Una	Una, Hamirpur
1976	area	Amb	Amb, Hamirpur
1978	area	Bilaspur	Bilaspur, Hamirpur
1980	area	Nobra	Nobra, Leh
1981	area	Nyoma	Nyoma, Leh
1982	area	Leh	Leh, Leh
1983	area	Zanaskar	Zanaskar, Leh
1985	area	Kargil	Kargil, Leh
1990	area	Ramnagar	Ramnagar, Udhampur
1991	area	Reasi	Reasi, Udhampur
1992	area	Udhampur	Udhampur, Udhampur
1995	area	Kishtwar	Kishtwar, Udhampur
1996	area	Doda	Doda, Udhampur
1997	area	Bedarwah	Bedarwah, Udhampur
1998	area	Ramban	Ramban, Udhampur
1999	area	Mahore	Mahore, Udhampur
20	area	Pune	Pune, Pune
2111	area	Indapur	Indapur, Pune
2112	area	Baramati	Baramati, Pune
2113	area	Bhor	Bhor, Pune
2114	area	Lonavala	Lonavala, Pune
2115	area	Saswad	Saswad, Pune
2117	area	Daund	Daund, Pune
2118	area	Walchandnagar	Walchandnagar, Pune
2119	area	Kedgaon	Kedgaon, Pune
212	area	Chinchwad	Chinchwad, Pune
2130	area	Velhe	Velhe, Pune
2132	area	Junnar	Junnar, Pune
2133	area	Manchar	Manchar, Pune
2135	area	Rajgurunagar	Rajgurunagar, Pune
2136	area	Urlikanchan	Urlikanchan, Pune
2137	area	Nahavara	Nahavara, Pune
2138	area	Shirur	Shirur, Pune
2139	area	Pirangut	Pirangut, Pune
2140	area	Mangaon	Mangaon, Pen
2141	area	Alibagh	Alibagh, Pen
2142	area	Pali	Pali, Pen
2143	area	Pen	Pen, Pen
2144	area	Murud	Murud, Pen
2145	area	Mahad	Mahad, Pen
2147	area	Shrivardhan	Shrivardhan, Pen
2148	area	Karjat	Karjat, Pen
2149	area	Mahasala	Mahasala, Pen
215	area	Navi Mumbai	Navi Mumbai (Turbhe), Mumbai
2160	area	Sakarwadi	Sakarwadi, Satara
2161	area	Vaduj	Vaduj, Satara
2162	area	Satara	Satara, Satara
2163	area	Koregaon	Koregaon, Satara
